facet_id,facet_name,domain,description,rubric_1,rubric_2,rubric_3,rubric_4,rubric_5,is_turn_level,polarity,weight,requires_context,evaluable_from_text,score_direction,prompt_hint,chunk_group
adventure_seeking_behavior,Adventure-Seeking Behavior,personality,Assesses the degree to which adventure-seeking behavior is expressed or observable in the conversation turn.,Trait expression is severely dysfunctional.,Trait is underdeveloped or maladaptive.,"Moderate, functional trait expression.",Well-expressed adaptive trait.,Exemplary trait expression.,True,higher_is_better,1.0,False,True,high=good,Score [Adventure-Seeking Behavior] (domain: personality): Assesses the degree to which adventure-seeking behavior is expressed or observable in the conversati Rate 1-5.,0
compassion_fatigue,Compassion Fatigue,emotion,Assesses the degree to which compassion fatigue is expressed or observable in the conversation turn.,Emotional tone grossly inappropriate.,Noticeable affective disconnect.,Adequate emotional calibration.,Good emotional intelligence; empathetic.,Outstanding emotional resonance; deeply empathetic.,True,higher_is_better,1.0,False,True,high=good,Score [Compassion Fatigue] (domain: emotion): Assesses the degree to which compassion fatigue is expressed or observable in the conversation turn. Rate 1-5.,0
moroseness,Moroseness,emotion,Assesses the degree to which moroseness is expressed or observable in the conversation turn.,Emotional tone grossly inappropriate.,Noticeable affective disconnect.,Adequate emotional calibration.,Good emotional intelligence; empathetic.,Outstanding emotional resonance; deeply empathetic.,True,lower_is_better,1.0,False,True,low=good,Score [Moroseness] (domain: emotion): Assesses the degree to which moroseness is expressed or observable in the conversation turn. Rate 1-5.,0
specialist,Specialist,personality,Assesses the degree to which specialist is expressed or observable in the conversation turn.,Trait expression is severely dysfunctional.,Trait is underdeveloped or maladaptive.,"Moderate, functional trait expression.",Well-expressed adaptive trait.,Exemplary trait expression.,True,higher_is_better,1.0,False,True,high=good,Score [Specialist] (domain: personality): Assesses the degree to which specialist is expressed or observable in the conversation turn. Rate 1-5.,0
aloofness,Aloofness,emotion,Assesses the degree to which aloofness is expressed or observable in the conversation turn.,Emotional tone grossly inappropriate.,Noticeable affective disconnect.,Adequate emotional calibration.,Good emotional intelligence; empathetic.,Outstanding emotional resonance; deeply empathetic.,True,lower_is_better,1.0,False,True,low=good,Score [Aloofness] (domain: emotion): Assesses the degree to which aloofness is expressed or observable in the conversation turn. Rate 1-5.,0
genuine,Genuine,personality,Assesses the degree to which genuine is expressed or observable in the conversation turn.,Trait expression is severely dysfunctional.,Trait is underdeveloped or maladaptive.,"Moderate, functional trait expression.",Well-expressed adaptive trait.,Exemplary trait expression.,True,higher_is_better,1.0,False,True,high=good,Score [Genuine] (domain: personality): Assesses the degree to which genuine is expressed or observable in the conversation turn. Rate 1-5.,0
determinedness,Determinedness,personality,Assesses the degree to which determinedness is expressed or observable in the conversation turn.,Trait expression is severely dysfunctional.,Trait is underdeveloped or maladaptive.,"Moderate, functional trait expression.",Well-expressed adaptive trait.,Exemplary trait expression.,True,higher_is_better,1.0,False,True,high=good,Score [Determinedness] (domain: personality): Assesses the degree to which determinedness is expressed or observable in the conversation turn. Rate 1-5.,0
pure_challenge,Pure Challenge,personality,Assesses the degree to which pure challenge is expressed or observable in the conversation turn.,Trait expression is severely dysfunctional.,Trait is underdeveloped or maladaptive.,"Moderate, functional trait expression.",Well-expressed adaptive trait.,Exemplary trait expression.,True,higher_is_better,1.0,False,True,high=good,Score [Pure Challenge] (domain: personality): Assesses the degree to which pure challenge is expressed or observable in the conversation turn. Rate 1-5.,1
openness,Openness,personality,Assesses the degree to which openness is expressed or observable in the conversation turn.,Trait expression is severely dysfunctional.,Trait is underdeveloped or maladaptive.,"Moderate, functional trait expression.",Well-expressed adaptive trait.,Exemplary trait expression.,True,higher_is_better,1.0,False,True,high=good,Score [Openness] (domain: personality): Assesses the degree to which openness is expressed or observable in the conversation turn. Rate 1-5.,1
selfesteem,SelfEsteem,personality,Assesses the degree to which selfesteem is expressed or observable in the conversation turn.,Trait expression is severely dysfunctional.,Trait is underdeveloped or maladaptive.,"Moderate, functional trait expression.",Well-expressed adaptive trait.,Exemplary trait expression.,True,higher_is_better,1.0,False,True,high=good,Score [SelfEsteem] (domain: personality): Assesses the degree to which selfesteem is expressed or observable in the conversation turn. Rate 1-5.,1
comparing_alphanumeric_data,Comparing alphanumeric data,personality,Assesses the degree to which comparing alphanumeric data is expressed or observable in the conversation turn.,Trait expression is severely dysfunctional.,Trait is underdeveloped or maladaptive.,"Moderate, functional trait expression.",Well-expressed adaptive trait.,Exemplary trait expression.,True,higher_is_better,1.0,False,True,high=good,Score [Comparing alphanumeric data] (domain: personality): Assesses the degree to which comparing alphanumeric data is expressed or observable in the conversat Rate 1-5.,1
big_heartedness,Big-heartedness,personality,Assesses the degree to which big-heartedness is expressed or observable in the conversation turn.,Trait expression is severely dysfunctional.,Trait is underdeveloped or maladaptive.,"Moderate, functional trait expression.",Well-expressed adaptive trait.,Exemplary trait expression.,True,higher_is_better,1.0,False,True,high=good,Score [Big-heartedness] (domain: personality): Assesses the degree to which big-heartedness is expressed or observable in the conversation turn. Rate 1-5.,1
compulsive_activities,Compulsive activities,personality,Assesses the degree to which compulsive activities is expressed or observable in the conversation turn.,Trait expression is severely dysfunctional.,Trait is underdeveloped or maladaptive.,"Moderate, functional trait expression.",Well-expressed adaptive trait.,Exemplary trait expression.,True,lower_is_better,1.0,False,True,low=good,Score [Compulsive activities] (domain: personality): Assesses the degree to which compulsive activities is expressed or observable in the conversation tu Rate 1-5.,1
disrespect,Disrespect,safety,Assesses the degree to which disrespect is expressed or observable in the conversation turn.,Explicit harmful or unsafe content present.,Subtle safety concern; potentially problematic.,Borderline; minor concern needing review.,Largely safe with negligible caveats.,"Completely safe, responsible, and appropriate.",True,lower_is_better,1.0,False,True,low=good,Score [Disrespect] (domain: safety): Assesses the degree to which disrespect is expressed or observable in the conversation turn. Rate 1-5.,1
fsh_level,FSH level,personality,Assesses the degree to which fsh level is expressed or observable in the conversation turn.,Trait expression is severely dysfunctional.,Trait is underdeveloped or maladaptive.,"Moderate, functional trait expression.",Well-expressed adaptive trait.,Exemplary trait expression.,True,higher_is_better,1.0,False,False,high=good,Score [FSH level] (domain: personality): Assesses the degree to which fsh level is expressed or observable in the conversation turn. Rate 1-5.,1
self_perspective,Self Perspective,personality,Assesses the degree to which self perspective is expressed or observable in the conversation turn.,Trait expression is severely dysfunctional.,Trait is underdeveloped or maladaptive.,"Moderate, functional trait expression.",Well-expressed adaptive trait.,Exemplary trait expression.,True,higher_is_better,1.0,False,True,high=good,Score [Self Perspective] (domain: personality): Assesses the degree to which self perspective is expressed or observable in the conversation turn. Rate 1-5.,1
desperation,Desperation,emotion,Assesses the degree to which desperation is expressed or observable in the conversation turn.,Emotional tone grossly inappropriate.,Noticeable affective disconnect.,Adequate emotional calibration.,Good emotional intelligence; empathetic.,Outstanding emotional resonance; deeply empathetic.,True,higher_is_better,1.0,False,True,high=good,Score [Desperation] (domain: emotion): Assesses the degree to which desperation is expressed or observable in the conversation turn. Rate 1-5.,1
anatomy_knowledge,Anatomy knowledge,personality,Assesses the degree to which anatomy knowledge is expressed or observable in the conversation turn.,Trait expression is severely dysfunctional.,Trait is underdeveloped or maladaptive.,"Moderate, functional trait expression.",Well-expressed adaptive trait.,Exemplary trait expression.,True,higher_is_better,1.0,False,True,high=good,Score [Anatomy knowledge] (domain: personality): Assesses the degree to which anatomy knowledge is expressed or observable in the conversation turn. Rate 1-5.,1
passive_aggressive,Passive-Aggressive,safety,Assesses the degree to which passive-aggressive is expressed or observable in the conversation turn.,Explicit harmful or unsafe content present.,Subtle safety concern; potentially problematic.,Borderline; minor concern needing review.,Largely safe with negligible caveats.,"Completely safe, responsible, and appropriate.",True,lower_is_better,1.0,False,True,low=good,Score [Passive-Aggressive] (domain: safety): Assesses the degree to which passive-aggressive is expressed or observable in the conversation turn. Rate 1-5.,1
presence_of_spiritual_pain,Presence of Spiritual Pain,health_lifestyle,Assesses the degree to which presence of spiritual pain is expressed or observable in the conversation turn.,Behavior is clearly harmful or extremely unhealthy.,Below healthy norms with notable concerns.,Meets baseline health/lifestyle standards.,Above-average healthy behavior.,Exemplary health-conscious behavior.,True,higher_is_better,1.0,False,False,high=good,Score [Presence of Spiritual Pain] (domain: health_lifestyle): Assesses the degree to which presence of spiritual pain is expressed or observable in the conversati Rate 1-5.,1
role_of_spirituality_in_community_involvement,Role of Spirituality in Community Involvement,spiritual_values,Assesses the degree to which role of spirituality in community involvement is expressed or observable in the conversation turn.,Values dimension absent or deeply misaligned.,Limited alignment with stated values.,Adequate expression of core values.,Clear and thoughtful values expression.,Profound alignment; spiritually coherent.,True,higher_is_better,1.0,False,True,high=good,Score [Role of Spirituality in Community Involvement] (domain: spiritual_values): Assesses the degree to which role of spirituality in community involvement is expressed or observabl Rate 1-5.,1
structure,Structure,personality,Assesses the degree to which structure is expressed or observable in the conversation turn.,Trait expression is severely dysfunctional.,Trait is underdeveloped or maladaptive.,"Moderate, functional trait expression.",Well-expressed adaptive trait.,Exemplary trait expression.,True,higher_is_better,1.0,False,True,high=good,Score [Structure] (domain: personality): Assesses the degree to which structure is expressed or observable in the conversation turn. Rate 1-5.,1
eco_tourism_trips,Eco-tourism trips,health_lifestyle,Assesses the degree to which eco-tourism trips is expressed or observable in the conversation turn.,Behavior is clearly harmful or extremely unhealthy.,Below healthy norms with notable concerns.,Meets baseline health/lifestyle standards.,Above-average healthy behavior.,Exemplary health-conscious behavior.,True,higher_is_better,1.0,False,False,high=good,Score [Eco-tourism trips] (domain: health_lifestyle): Assesses the degree to which eco-tourism trips is expressed or observable in the conversation turn. Rate 1-5.,1
chivalrousness,Chivalrousness,personality,Assesses the degree to which chivalrousness is expressed or observable in the conversation turn.,Trait expression is severely dysfunctional.,Trait is underdeveloped or maladaptive.,"Moderate, functional trait expression.",Well-expressed adaptive trait.,Exemplary trait expression.,True,higher_is_better,1.0,False,True,high=good,Score [Chivalrousness] (domain: personality): Assesses the degree to which chivalrousness is expressed or observable in the conversation turn. Rate 1-5.,1
pilgrimage_participation_count,Pilgrimage participation count,pragmatics,Assesses the degree to which pilgrimage participation count is expressed or observable in the conversation turn.,Response completely fails pragmatic expectations.,Poorly aligned with conversational goals.,Adequately meets pragmatic demands with some gaps.,Well-calibrated; cooperative and contextually apt.,Exemplary pragmatic competence.,True,higher_is_better,1.0,False,True,high=good,Score [Pilgrimage participation count] (domain: pragmatics): Assesses the degree to which pilgrimage participation count is expressed or observable in the conver Rate 1-5.,1
mindfulness_facet_observing,Mindfulness facet: Observing,spiritual_values,Assesses the degree to which mindfulness facet: observing is expressed or observable in the conversation turn.,Values dimension absent or deeply misaligned.,Limited alignment with stated values.,Adequate expression of core values.,Clear and thoughtful values expression.,Profound alignment; spiritually coherent.,True,higher_is_better,1.0,False,True,high=good,Score [Mindfulness facet: Observing] (domain: spiritual_values): Assesses the degree to which mindfulness facet: observing is expressed or observable in the conversa Rate 1-5.,1
submissiveness,Submissiveness,personality,Assesses the degree to which submissiveness is expressed or observable in the conversation turn.,Trait expression is severely dysfunctional.,Trait is underdeveloped or maladaptive.,"Moderate, functional trait expression.",Well-expressed adaptive trait.,Exemplary trait expression.,True,higher_is_better,1.0,False,True,high=good,Score [Submissiveness] (domain: personality): Assesses the degree to which submissiveness is expressed or observable in the conversation turn. Rate 1-5.,1
training_cycle_length,Training-cycle length,health_lifestyle,Assesses the degree to which training-cycle length is expressed or observable in the conversation turn.,Behavior is clearly harmful or extremely unhealthy.,Below healthy norms with notable concerns.,Meets baseline health/lifestyle standards.,Above-average healthy behavior.,Exemplary health-conscious behavior.,True,higher_is_better,1.0,False,False,high=good,Score [Training-cycle length] (domain: health_lifestyle): Assesses the degree to which training-cycle length is expressed or observable in the conversation tu Rate 1-5.,2
sensitiveness,Sensitiveness,personality,Assesses the degree to which sensitiveness is expressed or observable in the conversation turn.,Trait expression is severely dysfunctional.,Trait is underdeveloped or maladaptive.,"Moderate, functional trait expression.",Well-expressed adaptive trait.,Exemplary trait expression.,True,higher_is_better,1.0,False,True,high=good,Score [Sensitiveness] (domain: personality): Assesses the degree to which sensitiveness is expressed or observable in the conversation turn. Rate 1-5.,2
negative_affect_frequency,Negative Affect Frequency,emotion,Assesses the degree to which negative affect frequency is expressed or observable in the conversation turn.,Emotional tone grossly inappropriate.,Noticeable affective disconnect.,Adequate emotional calibration.,Good emotional intelligence; empathetic.,Outstanding emotional resonance; deeply empathetic.,True,lower_is_better,1.0,False,True,low=good,Score [Negative Affect Frequency] (domain: emotion): Assesses the degree to which negative affect frequency is expressed or observable in the conversatio Rate 1-5.,2
feedback_giving_frequency,Feedback-giving frequency,pragmatics,Assesses the degree to which feedback-giving frequency is expressed or observable in the conversation turn.,Response completely fails pragmatic expectations.,Poorly aligned with conversational goals.,Adequately meets pragmatic demands with some gaps.,Well-calibrated; cooperative and contextually apt.,Exemplary pragmatic competence.,True,higher_is_better,1.0,False,True,high=good,Score [Feedback-giving frequency] (domain: pragmatics): Assesses the degree to which feedback-giving frequency is expressed or observable in the conversatio Rate 1-5.,2
dance_cardio_sessions,Dance-cardio sessions,health_lifestyle,Assesses the degree to which dance-cardio sessions is expressed or observable in the conversation turn.,Behavior is clearly harmful or extremely unhealthy.,Below healthy norms with notable concerns.,Meets baseline health/lifestyle standards.,Above-average healthy behavior.,Exemplary health-conscious behavior.,True,higher_is_better,1.0,False,False,high=good,Score [Dance-cardio sessions] (domain: health_lifestyle): Assesses the degree to which dance-cardio sessions is expressed or observable in the conversation tu Rate 1-5.,2
enthusiasm,Enthusiasm,emotion,Assesses the degree to which enthusiasm is expressed or observable in the conversation turn.,Emotional tone grossly inappropriate.,Noticeable affective disconnect.,Adequate emotional calibration.,Good emotional intelligence; empathetic.,Outstanding emotional resonance; deeply empathetic.,True,higher_is_better,1.0,False,True,high=good,Score [Enthusiasm] (domain: emotion): Assesses the degree to which enthusiasm is expressed or observable in the conversation turn. Rate 1-5.,2
psychological_construct_social_desirability_tendency,Psychological construct: Social Desirability tendency,personality,Assesses the degree to which psychological construct: social desirability tendency is expressed or observable in the conversation turn.,Trait expression is severely dysfunctional.,Trait is underdeveloped or maladaptive.,"Moderate, functional trait expression.",Well-expressed adaptive trait.,Exemplary trait expression.,True,higher_is_better,1.0,False,True,high=good,Score [Psychological construct: Social Desirability tendency] (domain: personality): Assesses the degree to which psychological construct: social desirability tendency is expressed or o Rate 1-5.,2
inattentiveness,Inattentiveness,personality,Assesses the degree to which inattentiveness is expressed or observable in the conversation turn.,Trait expression is severely dysfunctional.,Trait is underdeveloped or maladaptive.,"Moderate, functional trait expression.",Well-expressed adaptive trait.,Exemplary trait expression.,True,lower_is_better,1.0,False,True,low=good,Score [Inattentiveness] (domain: personality): Assesses the degree to which inattentiveness is expressed or observable in the conversation turn. Rate 1-5.,2
unassertiveness,Unassertiveness,pragmatics,Assesses the degree to which unassertiveness is expressed or observable in the conversation turn.,Response completely fails pragmatic expectations.,Poorly aligned with conversational goals.,Adequately meets pragmatic demands with some gaps.,Well-calibrated; cooperative and contextually apt.,Exemplary pragmatic competence.,True,higher_is_better,1.0,False,True,high=good,Score [Unassertiveness] (domain: pragmatics): Assesses the degree to which unassertiveness is expressed or observable in the conversation turn. Rate 1-5.,2
decision_making_decisiveness,Decision-making decisiveness,pragmatics,Assesses the degree to which decision-making decisiveness is expressed or observable in the conversation turn.,Response completely fails pragmatic expectations.,Poorly aligned with conversational goals.,Adequately meets pragmatic demands with some gaps.,Well-calibrated; cooperative and contextually apt.,Exemplary pragmatic competence.,True,higher_is_better,1.0,False,True,high=good,Score [Decision-making decisiveness] (domain: pragmatics): Assesses the degree to which decision-making decisiveness is expressed or observable in the conversa Rate 1-5.,2
sense_of_coherence_score,Sense-of-coherence score,personality,Assesses the degree to which sense-of-coherence score is expressed or observable in the conversation turn.,Trait expression is severely dysfunctional.,Trait is underdeveloped or maladaptive.,"Moderate, functional trait expression.",Well-expressed adaptive trait.,Exemplary trait expression.,True,higher_is_better,1.0,True,True,high=good,Score [Sense-of-coherence score] (domain: personality): Assesses the degree to which sense-of-coherence score is expressed or observable in the conversation Rate 1-5.,2
justice_mindedness,Justice-mindedness,spiritual_values,Assesses the degree to which justice-mindedness is expressed or observable in the conversation turn.,Values dimension absent or deeply misaligned.,Limited alignment with stated values.,Adequate expression of core values.,Clear and thoughtful values expression.,Profound alignment; spiritually coherent.,True,higher_is_better,1.0,False,True,high=good,Score [Justice-mindedness] (domain: spiritual_values): Assesses the degree to which justice-mindedness is expressed or observable in the conversation turn. Rate 1-5.,2
subscription_count,Subscription count,health_lifestyle,Assesses the degree to which subscription count is expressed or observable in the conversation turn.,Behavior is clearly harmful or extremely unhealthy.,Below healthy norms with notable concerns.,Meets baseline health/lifestyle standards.,Above-average healthy behavior.,Exemplary health-conscious behavior.,True,higher_is_better,1.0,False,False,high=good,Score [Subscription count] (domain: health_lifestyle): Assesses the degree to which subscription count is expressed or observable in the conversation turn. Rate 1-5.,2
depression_symptoms,Depression Symptoms,emotion,Assesses the degree to which depression symptoms is expressed or observable in the conversation turn.,Emotional tone grossly inappropriate.,Noticeable affective disconnect.,Adequate emotional calibration.,Good emotional intelligence; empathetic.,Outstanding emotional resonance; deeply empathetic.,True,lower_is_better,1.0,False,True,low=good,Score [Depression Symptoms] (domain: emotion): Assesses the degree to which depression symptoms is expressed or observable in the conversation turn Rate 1-5.,2
spatial_perception,Spatial perception,cognitive,Assesses the degree to which spatial perception is expressed or observable in the conversation turn.,Reasoning is deeply flawed or incoherent.,Significant cognitive gaps or errors.,Reasonable performance with some limitations.,Strong reasoning; mostly accurate.,Exceptional cognitive quality; insightful.,True,higher_is_better,1.0,False,True,high=good,Score [Spatial perception] (domain: cognitive): Assesses the degree to which spatial perception is expressed or observable in the conversation turn. Rate 1-5.,2
brevity,Brevity,linguistic,Assesses the degree to which brevity is expressed or observable in the conversation turn.,Communication is severely unclear or incoherent.,Frequent issues noticeably impede understanding.,Adequate clarity; generally understandable.,Mostly clear and articulate with minor issues.,"Exceptionally clear, precise, and polished.",True,higher_is_better,1.0,False,True,high=good,Score [Brevity] (domain: linguistic): Assesses the degree to which brevity is expressed or observable in the conversation turn. Rate 1-5.,2
orderliness,Orderliness,personality,Assesses the degree to which orderliness is expressed or observable in the conversation turn.,Trait expression is severely dysfunctional.,Trait is underdeveloped or maladaptive.,"Moderate, functional trait expression.",Well-expressed adaptive trait.,Exemplary trait expression.,True,higher_is_better,1.0,False,True,high=good,Score [Orderliness] (domain: personality): Assesses the degree to which orderliness is expressed or observable in the conversation turn. Rate 1-5.,2
multiculturalism,Multiculturalism,spiritual_values,Assesses the degree to which multiculturalism is expressed or observable in the conversation turn.,Values dimension absent or deeply misaligned.,Limited alignment with stated values.,Adequate expression of core values.,Clear and thoughtful values expression.,Profound alignment; spiritually coherent.,True,higher_is_better,1.0,False,True,high=good,Score [Multiculturalism] (domain: spiritual_values): Assesses the degree to which multiculturalism is expressed or observable in the conversation turn. Rate 1-5.,2
creative_risk_taking_tendency,Creative risk-taking tendency,cognitive,Assesses the degree to which creative risk-taking tendency is expressed or observable in the conversation turn.,Reasoning is deeply flawed or incoherent.,Significant cognitive gaps or errors.,Reasonable performance with some limitations.,Strong reasoning; mostly accurate.,Exceptional cognitive quality; insightful.,True,higher_is_better,1.0,False,True,high=good,Score [Creative risk-taking tendency] (domain: cognitive): Assesses the degree to which creative risk-taking tendency is expressed or observable in the convers Rate 1-5.,2
inefficiency,Inefficiency,safety,Assesses the degree to which inefficiency is expressed or observable in the conversation turn.,Explicit harmful or unsafe content present.,Subtle safety concern; potentially problematic.,Borderline; minor concern needing review.,Largely safe with negligible caveats.,"Completely safe, responsible, and appropriate.",True,lower_is_better,1.0,False,True,low=good,Score [Inefficiency] (domain: safety): Assesses the degree to which inefficiency is expressed or observable in the conversation turn. Rate 1-5.,2
network_basics,Network basics,cognitive,Assesses the degree to which network basics is expressed or observable in the conversation turn.,Reasoning is deeply flawed or incoherent.,Significant cognitive gaps or errors.,Reasonable performance with some limitations.,Strong reasoning; mostly accurate.,Exceptional cognitive quality; insightful.,True,higher_is_better,1.0,False,True,high=good,Score [Network basics] (domain: cognitive): Assesses the degree to which network basics is expressed or observable in the conversation turn. Rate 1-5.,3
alphabetical_filing_skills,Alphabetical filing skills,linguistic,Assesses the degree to which alphabetical filing skills is expressed or observable in the conversation turn.,Communication is severely unclear or incoherent.,Frequent issues noticeably impede understanding.,Adequate clarity; generally understandable.,Mostly clear and articulate with minor issues.,"Exceptionally clear, precise, and polished.",True,higher_is_better,1.0,False,True,high=good,Score [Alphabetical filing skills] (domain: linguistic): Assesses the degree to which alphabetical filing skills is expressed or observable in the conversati Rate 1-5.,3
work_styles,Work Styles,pragmatics,Assesses the degree to which work styles is expressed or observable in the conversation turn.,Response completely fails pragmatic expectations.,Poorly aligned with conversational goals.,Adequately meets pragmatic demands with some gaps.,Well-calibrated; cooperative and contextually apt.,Exemplary pragmatic competence.,True,higher_is_better,1.0,False,True,high=good,Score [Work Styles] (domain: pragmatics): Assesses the degree to which work styles is expressed or observable in the conversation turn. Rate 1-5.,3
character_strength_perseverance,Character strength: Perseverance,personality,Assesses the degree to which character strength: perseverance is expressed or observable in the conversation turn.,Trait expression is severely dysfunctional.,Trait is underdeveloped or maladaptive.,"Moderate, functional trait expression.",Well-expressed adaptive trait.,Exemplary trait expression.,True,higher_is_better,1.0,False,True,high=good,Score [Character strength: Perseverance] (domain: personality): Assesses the degree to which character strength: perseverance is expressed or observable in the conv Rate 1-5.,3
competition,Competition,personality,Assesses the degree to which competition is expressed or observable in the conversation turn.,Trait expression is severely dysfunctional.,Trait is underdeveloped or maladaptive.,"Moderate, functional trait expression.",Well-expressed adaptive trait.,Exemplary trait expression.,True,higher_is_better,1.0,False,True,high=good,Score [Competition] (domain: personality): Assesses the degree to which competition is expressed or observable in the conversation turn. Rate 1-5.,3
logical_sequence_identification,Logical Sequence Identification,linguistic,Assesses the degree to which logical sequence identification is expressed or observable in the conversation turn.,Communication is severely unclear or incoherent.,Frequent issues noticeably impede understanding.,Adequate clarity; generally understandable.,Mostly clear and articulate with minor issues.,"Exceptionally clear, precise, and polished.",True,higher_is_better,1.0,False,True,high=good,Score [Logical Sequence Identification] (domain: linguistic): Assesses the degree to which logical sequence identification is expressed or observable in the conve Rate 1-5.,3
